GEO.id,GEO.id2,County,Year,Population
0500000US06101,6101,"Sutter County, California",2017,96438
0500000US06103,6103,"Tehama County, California",2017,63718
0500000US06105,6105,"Trinity County, California",2017,12726
0500000US06107,6107,"Tulare County, California",2017,463097
0500000US06109,6109,"Tuolumne County, California",2017,54039
0500000US06111,6111,"Ventura County, California",2017,850802
0500000US06113,6113,"Yolo County, California",2017,218376
0500000US06115,6115,"Yuba County, California",2017,76775
0500000US06001,6001,"Alameda County, California",2018,1666753
0500000US06003,6003,"Alpine County, California",2018,1101
0500000US06005,6005,"Amador County, California",2018,39383
0500000US06007,6007,"Butte County, California",2018,231256
0500000US06009,6009,"Calaveras County, California",2018,45602
0500000US06011,6011,"Colusa County, California",2018,21627
0500000US06013,6013,"Contra Costa County, California",2018,1150215
0500000US06015,6015,"Del Norte County, California",2018,27828
0500000US06017,6017,"El Dorado County, California",2018,190678
0500000US06019,6019,"Fresno County, California",2018,994400
0500000US06021,6021,"Glenn County, California",2018,28047
0500000US06023,6023,"Humboldt County, California",2018,136373
0500000US06025,6025,"Imperial County, California",2018,181827
0500000US06027,6027,"Inyo County, California",2018,17987
0500000US06029,6029,"Kern County, California",2018,896764
0500000US06031,6031,"Kings County, California",2018,151366
0500000US06033,6033,"Lake County, California",2018,64382
0500000US06035,6035,"Lassen County, California",2018,30802
0500000US06037,6037,"Los Angeles County, California",2018,10105518
0500000US06039,6039,"Madera County, California",2018,157672
0500000US06041,6041,"Marin County, California",2018,259666
0500000US06043,6043,"Mariposa County, California",2018,17471
0500000US06045,6045,"Mendocino County, California",2018,87606
0500000US06047,6047,"Merced County, California",2018,274765
0500000US06049,6049,"Modoc County, California",2018,8777
0500000US06051,6051,"Mono County, California",2018,14250
0500000US06053,6053,"Monterey County, California",2018,435594
0500000US06055,6055,"Napa County, California",2018,139417
0500000US06057,6057,"Nevada County, California",2018,99696
0500000US06059,6059,"Orange County, California",2018,3185968
0500000US06061,6061,"Placer County, California",2018,393149
0500000US06063,6063,"Plumas County, California",2018,18804
0500000US06065,6065,"Riverside County, California",2018,2450758
0500000US06067,6067,"Sacramento County, California",2018,1540975
0500000US06069,6069,"San Benito County, California",2018,61537
0500000US06071,6071,"San Bernardino County, California",2018,2171603
0500000US06073,6073,"San Diego County, California",2018,3343364
0500000US06075,6075,"San Francisco County, California",2018,883305
0500000US06077,6077,"San Joaquin County, California",2018,752660
0500000US06079,6079,"San Luis Obispo County, California",2018,284010
0500000US06081,6081,"San Mateo County, California",2018,769545
0500000US06083,6083,"Santa Barbara County, California",2018,446527
0500000US06085,6085,"Santa Clara County, California",2018,1937570
0500000US06087,6087,"Santa Cruz County, California",2018,274255
0500000US06089,6089,"Shasta County, California",2018,180040
0500000US06091,6091,"Sierra County, California",2018,2987
0500000US06093,6093,"Siskiyou County, California",2018,43724
0500000US06095,6095,"Solano County, California",2018,446610
0500000US06097,6097,"Sonoma County, California",2018,499942
0500000US06099,6099,"Stanislaus County, California",2018,549815
0500000US06101,6101,"Sutter County, California",2018,96807
0500000US06103,6103,"Tehama County, California",2018,63916
0500000US06105,6105,"Trinity County, California",2018,12535
0500000US06107,6107,"Tulare County, California",2018,465861
0500000US06109,6109,"Tuolumne County, California",2018,54539
0500000US06111,6111,"Ventura County, California",2018,850967
0500000US06113,6113,"Yolo County, California",2018,220408
0500000US06115,6115,"Yuba County, California",2018,78041
